date,ticker,revenue,net_income,eps,pe_ratio,fundamental_score
2020-04-15,TSLA,13700789699.335585,2902252869.5995255,1.4028797858564013,29.828528682243846,20.33970165681748
2020-04-16,TSLA,23464695515.564766,3188243530.2269473,1.4596199600787234,61.16451649973019,8.656645679699826
2020-04-17,TSLA,23410556087.36442,4927868343.889891,3.9562268430945933,44.07998121019013,32.239477901629584
2020-04-20,TSLA,10228755643.023624,3798552534.1460896,2.880920469130302,53.44073718354423,27.812752364200133
2020-04-21,TSLA,10722165320.528511,4321713380.8385315,3.3582740598325858,70.78709025686348,58.85721846151918
2020-04-22,TSLA,15503859180.631847,2126944654.3802104,3.473616632719821,11.755716698439162,14.685825372959371
2020-04-23,TSLA,12352618388.913021,2160991913.608758,0.6590944977161906,45.09853607934571,83.0046686087712
2020-04-24,TSLA,12926950643.91001,2956789292.1495667,3.453666079420424,26.74188803453328,38.660481027117875
2020-04-27,TSLA,21588754185.575336,4725048783.395969,2.2290431348363797,15.692779174957675,18.973650310971692
2020-04-28,TSLA,23712881598.795303,1473982218.7118273,4.584853156032152,66.73880764333282,80.25456325521758
2020-04-29,TSLA,11822707401.64484,3600008841.65981,4.387765316261273,23.685092618269927,17.5571545556909
2020-04-30,TSLA,18348335572.79106,3623073003.5940924,2.807080573875436,34.41126429174871,8.87684157338936
2020-05-01,TSLA,19365389016.78318,3206378816.658188,0.9474762028356194,33.09589456444536,14.096911203427975
2020-05-04,TSLA,10028951400.887474,3296293980.674374,3.640048803429651,96.6184842046312,74.64023325579421
2020-05-05,TSLA,18536208579.66406,1294261572.0420973,1.994080336916995,38.30522211462934,61.44870278007709
2020-05-06,TSLA,25070800753.919193,1274359797.2689872,0.9537294985220017,71.05315133142425,13.582947438340687
2020-05-07,TSLA,20515174127.58483,2769223674.080907,4.753733916453547,32.727282818613396,81.81125682038525
2020-05-08,TSLA,11923942512.33769,3234323575.3613033,4.00592394408277,55.528839576402675,58.81950766707193
2020-05-11,TSLA,22568094896.943184,1272662427.1030288,0.7977191899011244,58.27296800274655,4.438289419172802
2020-05-12,TSLA,23428612113.166676,2772250555.9258585,0.6166853568271433,68.95627594585564,25.697259156405593
2020-05-13,TSLA,15845815559.038025,4760207853.60924,1.2417826286175782,10.38330377005835,71.98940560786913
2020-05-14,TSLA,20840178433.034,4324381678.720865,4.824664787044534,69.12568997050172,54.641982675162595
2020-05-15,TSLA,23903510838.617535,3652920235.6155953,3.695210270167039,52.86839040930858,95.95994308783983
2020-05-18,TSLA,13473869736.85597,4746530544.144397,1.9017062436381702,96.4082244454169,11.120098115879307
2020-05-19,TSLA,17222070263.22136,1017822138.4182935,3.0130855038320243,91.47984866853078,12.287135424211293
2020-05-20,TSLA,23423010859.750885,2297028003.74125,2.6156103645941586,82.21670911998217,94.43539634092748
2020-05-21,TSLA,24941445919.52554,2483179266.70562,3.207716245732951,55.447864045454224,25.31319336124753
2020-05-22,TSLA,20342750695.715286,2753539175.1930947,1.573048951847752,42.19401438334435,20.084785155947383
2020-05-25,TSLA,21193538146.16987,2091320288.93079,1.5224438046726396,86.22376209153835,39.40907378081957
2020-05-26,TSLA,22512458784.736145,2961729254.5527525,4.201594431555943,29.071732499380808,93.88065134157523
2020-05-27,TSLA,17877318813.826435,3328232966.4285364,2.036244946891034,42.54522409593329,98.70469830628436
2020-05-28,TSLA,25405133161.593945,4989206254.313501,1.6481646637487326,59.90367394467002,85.12758253948405
2020-05-29,TSLA,10671719490.795624,2089907845.6768353,1.24305353839035,18.38163674617943,97.62989235460611
