date,ticker,rsi,ma_20,ma_50,volume,technical_score
2020-04-15,TSLA,41.8833610008987,379.3466942524891,201.26797017829128,41852283,47.34325469336464
2020-04-16,TSLA,24.534304780536598,265.77631906967196,314.82394558559577,22948143,3.3550133975378316
2020-04-17,TSLA,60.40170266746942,222.17629515514224,342.79746652848746,41030531,61.43366212389325
2020-04-20,TSLA,58.03891938724377,388.80518055287075,199.78876844066485,32561300,46.03133584837992
2020-04-21,TSLA,20.89798403870151,290.1941291944835,416.4899194755155,44080270,25.180351577097902
2020-04-22,TSLA,28.817279555180004,215.4659589823961,204.3025392848906,18571609,60.25852566286236
2020-04-23,TSLA,41.40265386067939,390.86694372964973,314.5378610671887,21340763,15.47576870571542
2020-04-24,TSLA,80.62403409799234,351.3191000650721,249.99719238247326,17167190,17.484576144260377
2020-04-27,TSLA,82.9255670835857,299.15700948808825,327.7199949650893,39509266,7.158732679227386
2020-04-28,TSLA,88.13138497095385,248.18493834320654,388.48985368505487,21830221,81.01105072312086
2020-04-29,TSLA,53.291084626475765,271.2789228765747,286.52338783094746,19380194,15.877665235848571
2020-04-30,TSLA,65.39217286114885,321.30959005486176,409.8696747815386,43459400,80.96132769433746
2020-05-01,TSLA,64.81607184356137,381.8996772724325,207.30729073527147,20476598,20.560984871961065
2020-05-04,TSLA,16.12863051488616,268.62628258201516,374.7657338598616,47857801,29.613789827856817
2020-05-05,TSLA,50.20383895056186,228.08428704324245,380.6424834237936,49167484,31.998405524825614
2020-05-06,TSLA,64.9672645885055,397.7848886045497,300.4551122149198,28258915,54.5756097074332
2020-05-07,TSLA,73.35604343210166,317.79577064727664,314.47264066689695,16359845,15.728595433957103
2020-05-08,TSLA,66.42056831468167,219.31248063364475,314.5135236229388,21541653,62.26080782996174
2020-05-11,TSLA,76.62110258202465,317.860109039923,242.74384850848028,33830623,54.21508620515036
2020-05-12,TSLA,22.91636731708941,362.80560559450487,272.17350723495275,49944091,67.20540100763543
2020-05-13,TSLA,66.99899460873172,283.84176151588724,348.97997487295663,10551595,91.91545739250843
2020-05-14,TSLA,33.09061577084311,330.5063333719836,342.037523948543,49138749,90.18930971205829
2020-05-15,TSLA,48.12957801159097,250.78998255498524,208.48413716584983,40544929,79.98081137764277
2020-05-18,TSLA,52.707664457181636,325.29121459847465,180.3638474937855,36446902,43.185244996137726
2020-05-19,TSLA,57.33538606156063,351.38195919443467,375.97008647070004,32587982,16.407542143507147
2020-05-20,TSLA,24.504141095705947,332.2117944827286,276.72750222208487,12350728,67.26349251344345
2020-05-21,TSLA,61.812723250327714,329.5410446075759,237.4264230987346,21777413,56.33355594695254
2020-05-22,TSLA,32.300141570741786,335.28733584346,281.49069562059975,43290713,87.31119713677774
2020-05-25,TSLA,45.968571427513425,222.1423290951933,266.8179104217253,33333729,67.15393888885404
2020-05-26,TSLA,42.9042994746346,269.4153101365669,410.80409914827,18970894,60.32692490210205
2020-05-27,TSLA,15.427710025749564,219.57227953018023,384.07697998587054,42101991,20.68667159842853
2020-05-28,TSLA,47.18816122981457,281.58667503285744,337.571421107319,37591461,22.748563229644102
2020-05-29,TSLA,10.41156057440384,292.92366456699335,295.7361554884289,11431952,94.91109327432679
2020-06-01,TSLA,45.57934834725462,230.4279102719717,364.11081120988024,28989770,52.95466463094345
2020-06-02,TSLA,85.0543249118253,237.46929014035456,358.3644797904871,43672278,12.386844316534251
2020-06-03,TSLA,54.18446704692489,353.984202792745,213.32112419356307,13188794,16.13440860488995
2020-06-04,TSLA,77.39791612289194,314.88964592577037,365.70126304050143,48755852,21.57253899537297
2020-06-05,TSLA,62.457030901460094,277.89515234473606,379.48648498619434,15974223,50.332438761928266
2020-06-08,TSLA,66.699551660974,273.4941617442432,298.9142119679274,37087348,99.17565907235574
2020-06-09,TSLA,35.06505512849796,364.92109571199876,321.6909931817605,14918290,87.68631077451968
2020-06-10,TSLA,86.64977881113941,397.4558035130645,225.36844775319344,17285937,69.94042063034522
2020-06-11,TSLA,61.2613626389885,243.2250756551779,353.6537424848892,41482229,72.79271077643197
2020-06-12,TSLA,74.9342780979038,386.001334453864,415.3651381500547,13263195,89.00077561136166
2020-06-15,TSLA,46.965045946998664,334.1474315504165,204.9176949020875,34810156,25.009942565463206
2020-06-16,TSLA,47.663704757384515,370.8476740863427,405.1116229899765,29722465,38.33125493552496
2020-06-17,TSLA,35.410558400910084,217.59833817997364,231.7219121437886,21176846,20.91013469275471
2020-06-18,TSLA,10.139754115852178,327.5739896924092,231.55976213292053,19464574,57.18431373494061
2020-06-19,TSLA,48.70396659538911,252.58018554426542,236.49764962639625,43602970,63.6468028968443
2020-06-22,TSLA,59.12458040727393,298.3241660081639,386.68367691820526,37949927,8.73704330982652
2020-06-23,TSLA,80.58192711727699,361.2950184972902,392.1968893372173,42646130,66.38743005901911
2020-06-24,TSLA,46.34616509654839,346.73514074739523,301.973463056639,38362487,38.7683120341501
2020-06-25,TSLA,74.75463256252596,343.77994418072643,287.72655227779245,18292821,42.12050149766875
2020-06-26,TSLA,59.25212425483244,311.87045780370323,285.843036097332,13143316,40.36659969921629
